ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 137728273       173.770354     54.785419      4849.0         None           
TIC 99921120        169.764729     62.182674      4695.20996094  None           
TIC 270494308       231.09661      73.948841      7132.0         4.19259977     
TIC 142349770       195.437355     61.414015      4868.0         None           
TIC 441807720       266.18701      74.073298      3221.0         5.01340008     
TIC 232615325       259.484289     60.174026      4484.0         None           
TIC 371792232       174.2075       76.666618      4638.0         None           
TIC 142439883       145.715533     70.039411      3389.0         4.79941988     
TIC 188475627       133.701302     36.782443      4632.0         None           
TIC 147951018       168.014348     71.593139      3117.0         None           
TIC 272702570       235.216329     67.335005      7500.0         4.16534996     
TIC 233499307       250.300578     72.269108      7191.0         4.28835011     
TIC 232610445       258.579638     62.587236      3284.0         4.95130014     
TIC 3714087         127.947298     27.148417      3725.0         None           
TIC 125552051       145.232375     27.807474      4676.64013672  None           
TIC 232617673       268.252004     58.456916      5110.87988281  4.64955997     
TIC 137887847       151.256778     55.105119      4276.72998047  None           
TIC 17201662        145.67841      40.291909      5601.91015625  4.51324987     
TIC 165552714       266.74248      55.147476      6130.0         4.40662003     
TIC 230375418       285.034699     64.10363       6431.0         4.37025976     
TIC 147643683       185.113866     61.309641      3078.0         None           
TIC 272679402       234.398455     68.231853      4662.0         None           
TIC 406928015       287.406112     59.320045      4911.0         None           
TIC 219844480       255.14717      70.027857      6470.0         4.15262985     
TIC 235682463       287.291164     76.560502      7137.0         4.28448009     
TIC 105575691       152.988152     42.385742      6662.0         4.25645018     
TIC 219434210       205.170083     76.843779      7754.0         3.92227006     
TIC 393853036       146.780612     46.011167      4749.25976563  4.66544008     
TIC 199522237       239.780491     62.732768      4445.0         4.60748005     
TIC 219771875       263.081531     61.949248      4858.0         None           
TIC 233606339       282.858511     60.883824      6967.0         3.96291995     
TIC 459792167       175.372362     52.865119      4735.0         None           
TIC 256555422       299.731915     64.668472      8088.0         4.26524019     
TIC 230157136       253.057317     71.795461      5125.0         4.52979994     
TIC 230394278       286.459748     65.602935      4936.0         None           
TIC 287297711       168.798639     51.21158       5691.49023438  4.49995995     
TIC 4822736         146.006587     33.716505      5742.12988281  4.46567011     
