 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 85292042        156.717005     33.891201      6518.0         4.13146019     
 TIC 366488770       299.784961     70.090082      3132.0         4.68544006     
 TIC 377388779       150.281853     55.096053      6667.0         4.17914009     
 TIC 21501122        149.168575     38.138662      3432.0         4.77926016     
 TIC 219010458       221.93724      71.601236      6595.12988281  4.25911999     
 TIC 229473874       295.223685     61.961666      3619.0         4.81115007     
 TIC 53451777        161.763582     49.001504      4497.87011719  None           
 TIC 150265247       159.77054      43.874049      3039.0         5.10524988     
 TIC 251080865       138.983656     53.423294      None           None           
 TIC 229639589       278.814775     73.028141      3217.0         4.99287987     
 TIC 137810850       177.794463     56.12989       3578.0         4.74615002     
 TIC 53451503        161.623526     48.553468      3126.0         5.04437017     
 TIC 359676320       280.728154     58.761096      5278.0         4.48565006     
 TIC 287086786       253.419911     67.242464      4029.0         None           
 TIC 160423353       235.7627       76.6047        None           4.98814011     
 TIC 166615946       136.229503     32.376838      7610.0         4.05800009     
 TIC 259169317       292.464067     67.085924      5453.0         4.41263008     
 TIC 302695576       163.954841     54.16304       4532.0         4.73764992     
 TIC 328583962       142.737158     58.42059       3138.0         5.0445199      
 TIC 229675969       253.259045     75.689387      3383.0         4.85112        
 TIC 126278009       134.10463      23.947938      6562.74023438  4.33694983     
 TIC 258799679       286.609675     68.483774      7144.0         3.74194002     
 TIC 138577121       175.164888     62.299377      5688.0         None           
 TIC 257082573       228.933095     76.119771      4861.0         4.5880599      
 TIC 302697237       164.137709     58.591291      5080.72998047  None           
 TIC 159509283       247.058725     83.334338      5308.0         4.62100983     
 TIC 219467261       210.140156     72.148589      3237.0         4.92579985     
 TIC 8765832         140.046675     33.945099      None           None           
 TIC 233071509       270.724977     61.419752      5783.0         4.43635988     
 TIC 159613900       219.750879     64.29166       5647.0         4.44929981     
 TIC 8676751         137.51525      35.559496      4663.43994141  4.28806019     
 TIC 311578368       159.624116     48.529112      3357.0         4.80394983     
 TIC 117420341       137.871197     28.019925      4954.49023438  4.71720982     
 TIC 441795882       263.810841     76.533827      3284.0         4.91875982     
 TIC 232634683       269.495547     55.102185      4620.0         4.47014999     
 TIC 318292329       164.531329     50.950801      3372.0         4.87204981     
 TIC 105440997       143.526276     44.036455      5026.0         4.25399017     
 TIC 307986891       257.568601     63.359399      4309.0         4.56244993     
 TIC 202294427       174.817435     52.999738      6284.33007813  4.39470005     
 TIC 21501108        149.045734     38.264746      6058.0         4.44503021     
 TIC 441717812       254.460052     75.667956      3447.0         4.82707977     
 TIC 357036564       274.36317      58.452132      5223.0         4.24432993     
 TIC 257048637       226.988393     76.233097      3130.0         4.78715992     
 TIC 233080541       271.876222     65.214836      3047.0         5.01089001     
 TIC 229480487       295.52485      65.780496      5409.0         4.14881992     
 TIC 202382372       210.019995     63.679765      5366.0         4.56624985     
 TIC 199547911       240.640359     64.099434      4482.0         4.5002799      
 TIC 202381525       209.689277     63.159243      5472.0         4.44937992     
 TIC 88768414        151.797009     51.453406      6014.85986328  4.51549006     
 TIC 137803552       177.175272     54.718757      7273.49023438  3.91647005     
 TIC 272700743       235.261903     71.813785      3429.0         4.8294301      
 TIC 252470185       150.7056       48.4592        None           5.03126001     
 TIC 137830316       178.045818     55.802342      7178.0         4.40201998     
 TIC 159241096       226.191267     80.98662       5603.0         4.39426994     
 TIC 288382046       265.76052      81.640529      3179.0         4.97595978     
 TIC 157319257       179.813177     61.334381      7980.0         4.00081015     
 TIC 23971516        147.493428     44.863995      3104.0         5.04182005     
 TIC 288312840       262.663855     78.931211      4525.0         4.53853989     
 TIC 256749121       301.025849     64.536938      7081.0         4.25446987     
 TIC 232970271       198.599338     66.375768      2846.0         5.21916008     
 TIC 202427220       226.578643     62.17069       4029.0         4.32281017     
 TIC 138507897       157.946158     64.660195      5450.0         4.42226982     
 TIC 357047278       274.59058      55.446865      None           None           
 TIC 24005688        163.293899     41.927355      3149.0         5.00800991     
 TIC 298649058       272.499027     51.918976      3561.0         4.58987999     
 TIC 284900652       261.025561     56.33419       None           None           
 TIC 232613164       258.838016     65.477948      5512.0         4.48757982     
 TIC 233717533       276.080906     62.414325      6538.0         None           
 TIC 229671667       251.997277     73.609563      3047.0         5.07078981     
 TIC 158436020       202.31302      60.001904      6757.0         3.47265005     
 TIC 356822358       275.18909      71.337774      None           None           
 TIC 230019699       291.563469     60.754606      4552.0         4.42252016     
 TIC 229597814       273.575769     72.701858      6994.0         4.26007986     
 TIC 420110756       290.230678     77.717558      3159.0         5.02092981     
